Incident_ID,Month,Day,Year,Date,School,Victims_Killed,Victims_Wounded,Number_Victims,Shooter_Killed,Source,Number_News,Media_Attention,Reliability,Quarter,City,State,School_Level,Location,Location_Type,During_Classes,Time_Period,First_Shot,Duration_min,Summary,Narrative,Situation,Targets,Accomplice,Accomplice_Narrative,Hostages,Barricade,Officer_Involved,Bullied,Domestic_Violence,Gang_Related,Active_Shooter_FBI,Shots_Fired,LAT,LNG
19750224NJSTP,2,24,1975,2/24/75,St. James School,1,1,2,0,https://www.newspapers.com/image/184959976/?terms=school%2Bshooting https://www.nytimes.com/1975/02/26/archives/motive-is-a-mystery-in-shooting-of-teacher-and-priest.html,,,3,Winter,Penns Grove,NJ,K-8,Classroom,Inside School Building,Yes,Morning Classes,,1,"Voices told him to kill her, thought priest was controlling him","A 38 year-old male (Rev. Thomas Quinlan, killed) and 25 year-old female teacher (Kathleen Quinlan, injured) when the shooter fired at both of them in front of class of 2nd graders. Shooter was hearing voices and thought he was under mind control. Two psychiatrists evaluated him and said he was severely mentally ill and dangerous.",Psychosis,Both,No,,No,No,No,No,No,No,Yes,1,39.710438,-75.464274
19750207NYBOM,2,7,1975,2/7/75,Board of Cooperative Educational Services,0,0,0,0,https://www.newspapers.com/image/431914265/?terms=william%2Bgund,,,2,Winter,Mineola,NY,Other,Inside School Building,Inside School Building,Yes,Afternoon Classes,,1,Shooter shot himself after being confronted by counselor regarding his latenesses/ absentees,Shooter shoots self in head at school after being told by counselor about his absentees and latenesses.,Suicide/Attempted,Victims Targeted,No,,No,No,No,No,No,No,,1,40.747189,-73.638741
19741230NYOLO,12,30,1974,12/30/74,Olean High School,3,7,10,0,https://www.nytimes.com/1974/12/31/archives/3-killed-and-9-wounded-by-an-upstate-sniper-18-3-killed-and-9.html https://www.newspapers.com/image/255169003/?terms=school%2Bshooting,,,3,Winter,Olean,NY,High,Classroom,Inside School Building,No,After School,3:00 PM,150,Sniper attack from school building by trophy rifle team member/Regent's scholar,Champion rifle team member and honor student began firing at random targets in the street outside the school from the 3rd and 4th floor windows. Killed a janitor in the school during the shooting. 2.5 hour standoff and National Guard was called to respond. Filled the school with tear gas. Shooter threw the guns out of the window before being detained. No prior warning. Shooter had a detailed plan found in a diary. Had multiple weapons: .30-60 rifle;12g shotgun.,Indiscriminate Shooting,Random Shooting,No,,No,Yes,No,No,No,No,Yes,50,42.082642,-78.434876
19741218CAMAL,12,18,1974,12/18/74,Manual Arts High School,1,1,2,0,https://www.newspapers.com/image/246204936/?terms=school%2Bshooting,,,2,Winter,Los Angeles,CA,High,ND,ND,Yes,Lunch,12:00 PM,1,Retaliation for prior gang shootings,Two gang affiliated teenage students were shot by a rival gang member who had just escaped juvenile hall.,Escalation of Dispute,Victims Targeted,No,,No,No,No,No,No,Yes,,,34.007977,-118.292152
19741125SCCAC,11,25,1974,11/25/74,C A Brown High School,0,0,0,0,https://www.newspapers.com/image/68536508/?terms=school%2Bshooting,,,2,Fall,Charleston,SC,High,Outside on School Property,Outside on School Property,No,After School,3:00 PM,1,Shots fired at group of student/gang members in retaliation for previous week shooting,2 shooters (students) fired shots fired at group of students in retaliation for shooting the prior week. No injuries.,Escalation of Dispute,Victims Targeted,Yes,Two shooters,No,No,No,No,No,Yes,,6,32.797882,-79.936328
19741121ARBOL,11,21,1974,11/21/74,Booker Junior High School,1,1,2,0,https://www.newspapers.com/image/31485570/?terms=school%2Bshooting,,,2,Fall,Little Rock,AR,Junior High,Cafeteria,Inside School Building,Yes,Lunch,1:30 PM,1,"Ongoing fight between student, bystander hit",Shooter and victim had ongoing fight for multiple days. Fight escalated into shooting in cafeteria. Bystander student was struck. Shooter fled to home and called police to turn himself in.,Escalation of Dispute,Both,No,,No,No,No,No,No,No,,,34.728783,-92.261805
19741118SCCAC,11,18,1974,11/18/74,C A Brown High School,0,1,1,0,https://www.newspapers.com/image/68536508/?terms=school%2Bshooting,,,2,Fall,Charleston,SC,High,Outside on School Property,Outside on School Property,Yes,Dismissal,3:00 PM,1,Non-student shot by rival gang members,Non-student gang member shot at school by rival gang members.,Escalation of Dispute,Victims Targeted,No,,No,No,No,No,No,Yes,,<10,32.797882,-79.936328
19741021MDDOB,10,21,1974,10/21/74,Douglass High School,0,1,1,0,https://www.newspapers.com/image/377591998/?terms=school%2Bshooting,,,2,Fall,Baltimore,MD,High,Inside School Building,Inside School Building,Yes,Lunch,,1,Shot security guard while trespassing in school,Shooter and friend were trespassing in high school. Security guard tried to stop them. Shooter fired at security guard 3 times (twice while he was on the ground) and fled the area.,Illegal Activity,Neither,Yes,2 teens involved,No,No,No,No,No,No,,3,39.314911,-76.654426
19741007LADEH,10,7,1974,10/7/74,Destrehan High School,1,1,2,0,https://www.newspapers.com/image/292475092/?terms=timothy%2Bweber; https://www.newspapers.com/image/227833916/?terms=student%2Bshoots,,,3,Fall,Hahnville,LA,High,Parking Lot (Bus),Outside on School Property,Yes,After School,,1,Shooter shot victim after rocks were thrown at school bus shooter was on,"Racial tension between whites and blacks at school. After school, a group of white students threw rocks at a school bus leaving school. Shooter stuck his hand out the bus window and shot victim in head. Bullet also wounded another student.",Racial,Random Shooting,No,,No,No,No,No,No,No,,,29.964886,-90.383139
19740925CASAL,9,25,1974,9/25/74,San Fernando High School,0,1,1,0,https://www.newspapers.com/image/30473026/?terms=school%2Bshooting,,,2,Fall,Los Angeles,CA,High,ND,ND,Yes,,,1,"Victim confronted by 2 students, one fired shot striking him",17 year-old male wounded by 17 year-old male during argument. Two suspects involved.,Escalation of Dispute,,No,,No,No,No,,,No,,<10,34.27261,-118.442958
19740923CAJED,9,23,1974,9/23/74,Jefferson High School,0,1,1,0,https://www.newspapers.com/image/252161775/?terms=school%2Bshooting,,,2,Fall,Daly City,CA,High,Bathroom,Inside School Building,Yes,,,,Victim shot 5 times in bathroom following argument,Student shot 5 times in the school bathroom following an argument with a group of 3 other students. 3 teenage students arrested for attempted murder.,Escalation of Dispute,Victims Targeted,No,,No,No,No,,No,No,,5,37.695982,-122.466119
19740519FLHIO,5,19,1974,5/19/74,Highlands Elementary School,0,0,0,0,https://www.newspapers.com/image/236492101/?terms=school%2Bshooting,,,2,Spring,Orlando,FL,Elementary,Outside on School Property,Outside on School Property,No,Not a School Day,,1,Fired shots at school where wife works as teacher,Husband fired shots at the school building where his wife works as a teacher.,Domestic w/ Targeted Victim,Victims Targeted,No,,No,No,No,No,Yes,No,,<10,28.31759,-81.411868
19740510TNCHR,5,10,1974,5/10/74,Church Hill High School,1,0,1,0,https://www.newspapers.com/image/68924341/?terms=school%2Bshooting;  https://www.newspapers.com/image/69641003/?terms=paul%2Bconrad%2Bsmith,,,3,Spring,Rogersville,TN,High,Parking Lot,Outside on School Property,No,Evening,,1,Fight between two males in school parking lot escalated to shooting,Escalation of Ongoing feud between two students occurred in school parking lot.,Escalation of Dispute,Victims Targeted,,,No,No,No,No,No,No,,2,36.525874,-82.709244
19740402CTSTB,4,2,1974,4/2/74,St. Stephen's Parochial School,0,2,2,0,https://www.newspapers.com/image/60655345/?terms=school%2Bshooting,,,2,Spring,Bridgeport,CT,Other,Classroom,Inside School Building,Yes,Afternoon Classes,1:15 PM,1,Shots fired through classroom window,Shots fired through window of the school striking a teacher and 5 year-old male student. No witnesses or information about the shooter.,Intentional Property Damage,,No,,No,No,No,No,,No,,,41.198692,-73.190596
19740322INBRB,3,22,1974,3/22/74,Brownstown Central High School,1,0,1,0,https://www.newspapers.com/image/138665845/?terms=Brownstown%2BCentral%2BHigh%2BSchool%2Bshooting   https://www.newspapers.com/image/138700024/?terms=david%2Bfleetwood,,,2,Spring,Brownstown,IN,High,Parking Lot,Outside on School Property,Yes,School Start,8:00 AM,1,Student shot assistant principal in school parking lot,"48 year-old male (James T. Blevins, school athletic director) was shot and killed in the parking lot just before class. Shooter walked to principal, told him to call 911, and that he just shot Mr. Blevins. Unknown motive.",Anger Over Grade/Suspension/Discipline,Victims Targeted,No,,No,No,No,No,No,No,,2,38.885803,-86.045809
19740207CAJAO,2,7,1974,2/7/74,James Madison Junior High School,2,0,2,0,https://www.newspapers.com/image/63455706/?terms=school%2Bshooting,,,2,Winter,Oakland,CA,Junior High,Hallway,Inside School Building,Yes,Lunch,,,"Created disturbance at school, shot 2 officers who responded","24 year-old male created disturbance in Junior High School hallway. When police responded, he took one of the officer's gun and killed both of them. Fled to nearby apartment building and held hostages before being shot by police.",Hostage/Standoff,Neither,No,,No,No,No,No,No,No,Yes,,37.726694,-122.179539
